migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.0001,1.5,0.001,1,Other,0.02686116836196215,0.028371389873685687
0.0005,0.0001,1.5,0.001,2,PMEC,0.026462559098254478,0.028693121917029024
0.0005,0.0001,1.5,0.001,2,VM,0.0,0.0
0.0005,0.0001,1.5,0.001,2,Other,0.025367238283323847,0.02752486832126821
0.0005,0.0001,1.5,0.005,0,PMEC,0.02784686604680867,0.0329668358680441
0.0005,0.0001,1.5,0.005,0,VM,0.0,0.0
0.0005,0.0001,1.5,0.005,0,Other,0.02539502761104715,0.031647545558930644
0.0005,0.0001,1.5,0.005,1,PMEC,0.02685720411969339,0.03194080723859735
0.0005,0.0001,1.5,0.005,1,VM,0.0,0.0
0.0005,0.0001,1.5,0.005,1,Other,0.02556645247810463,0.03153101231018013
0.0005,0.0001,1.5,0.005,2,PMEC,0.027220454270891977,0.032787121874425756
0.0005,0.0001,1.5,0.005,2,VM,0.0,0.0
0.0005,0.0001,1.5,0.005,2,Other,0.02500551609357655,0.031022777935552037
0.0005,0.0001,1.5,0.01,0,PMEC,0.023254689275386996,0.032195855355505676
0.0005,0.0001,1.5,0.01,0,VM,0.0,0.0
0.0005,0.0001,1.5,0.01,0,Other,0.021595524530169705,0.03248080058644331
0.0005,0.0001,1.5,0.01,1,PMEC,0.024433907622005112,0.03328959232310192
0.0005,0.0001,1.5,0.01,1,VM,0.0,0.0
0.0005,0.0001,1.5,0.01,1,Other,0.021343642029050956,0.032752558456010765
0.0005,0.0001,1.5,0.01,2,PMEC,0.022817783220866084,0.03210476493224073
0.0005,0.0001,1.5,0.01,2,VM,0.0,0.0
0.0005,0.0001,1.5,0.01,2,Other,0.020443380100150635,0.032440645803383565
0.0005,0.0001,1.5,0.05,0,PMEC,0.01168280688106866,0.044626930621700596
0.0005,0.0001,1.5,0.05,0,VM,0.0,0.0
0.0005,0.0001,1.5,0.05,0,Other,0.006575442824174435,0.046132477771055364
0.0005,0.0001,1.5,0.05,1,PMEC,0.010537309272538702,0.04464778716626252
0.0005,0.0001,1.5,0.05,1,VM,0.0,0.0
0.0005,0.0001,1.5,0.05,1,Other,0.006191212436633798,0.04608821360964367
0.0005,0.0001,1.5,0.05,2,PMEC,0.010868441311313913,0.04487395548953094
